L N N1 N2 N3 W S1 S2 S3 F1 F2 F3 C T T10 T25 T50 T75 T90
0 16 8 4 2 25000000 200 400 800 0.0 1.0 0.0 0 13.786144 10.263215 11.942723 13.786144 15.191888 15.505319
0 16 8 4 2 25000000 200 400 800 0.0 1.0 1.0 0 14.101601 10.045551 12.037940 14.101601 15.176372 15.518074
0 16 4 2 0 10000000 400 800 800 0.0 0.0 0.0 0 2.469809 2.160087 2.326392 2.469809 2.584843 2.659175
0 16 2 2 2 25000000 400 800 800 0.0 1.0 1.0 1 4.058658 2.754646 3.760399 4.058658 4.090057 4.297475
0 16 8 4 2 50000000 200 400 800 0.0 0.0 1.0 2 1.701734 1.177117 1.426170 1.701734 1.912718 1.955182
0 16 2 2 2 25000000 400 800 800 0.0 1.0 0.0 1 4.058658 2.754646 3.760399 4.058658 4.090057 4.297475
0 16 8 4 2 50000000 200 400 800 0.0 0.0 0.0 2 1.706778 1.190780 1.459081 1.706778 1.902256 1.960998
0 8 4 2 2 10000000 200 400 400 0.0 0.0 0.0 2 0.319147 0.298130 0.303336 0.319147 0.333776 0.337057
0 16 8 2 2 50000000 400 800 800 0.0 1.0 0.0 1 14.192595 12.044232 13.981327 14.192595 14.192644 14.817122
0 8 4 2 2 100000000 200 400 800 0.0 1.0 0.0 1 24.468915 18.200093 22.824820 24.468915 24.471017 24.471166
0 16 8 4 0 100000000 200 400 400 0.0 1.0 0.0 0 54.782998 41.746557 46.932382 54.782998 60.876395 61.982383
0 8 4 2 2 100000000 200 400 800 0.0 1.0 1.0 1 24.468915 18.200093 22.824820 24.468915 24.471017 24.471166
0 8 2 2 0 50000000 200 400 400 0.0 0.0 0.0 1 8.158306 5.561531 7.068620 8.158306 8.162393 8.305400
0 8 2 2 0 100000000 200 400 800 0.0 1.0 0.0 1 16.314678 10.562293 14.886194 16.314678 16.351116 16.691569
0 16 8 2 2 50000000 400 800 800 0.0 1.0 1.0 1 14.192595 12.044232 13.981327 14.192595 14.192644 14.817122
0 8 4 2 2 10000000 200 400 400 0.0 0.0 1.0 2 0.316043 0.298651 0.305884 0.316043 0.333809 0.339070
0 4 2 2 0 10000000 200 400 400 0.0 0.0 0.0 0 0.880202 0.878049 0.878372 0.880202 0.882083 0.882670
0 4 2 2 2 25000000 400 800 800 0.0 0.0 0.0 1 1.019249 0.969577 1.000184 1.019249 1.037684 1.067160
0 4 2 2 2 25000000 400 800 800 0.0 0.0 1.0 1 1.019249 0.969577 1.000184 1.019249 1.037684 1.067160
0 8 4 2 0 50000000 400 800 800 0.0 1.0 0.0 1 6.087157 6.012324 6.077907 6.087157 6.114199 6.397232
0 16 8 2 0 10000000 200 400 400 0.0 0.0 0.0 2 0.357588 0.309841 0.329606 0.357588 0.386471 0.398660
0 8 2 2 2 10000000 400 800 800 0.0 1.0 1.0 2 0.109158 0.106721 0.106787 0.109158 0.110622 0.110697
0 8 2 2 2 10000000 400 800 800 0.0 1.0 0.0 2 0.109158 0.106721 0.106787 0.109158 0.110622 0.110697
0 16 2 2 0 10000000 200 400 400 0.0 1.0 0.0 0 3.566774 2.162389 2.290785 3.566774 6.923570 7.219016
0 16 4 2 2 25000000 200 400 400 0.0 0.0 0.0 1 12.239036 9.316318 12.213349 12.239036 12.261430 12.731594
0 16 4 2 2 25000000 200 400 400 0.0 0.0 1.0 1 12.238816 9.036099 11.628688 12.238816 12.239498 12.556973
0 16 8 2 0 10000000 200 400 800 0.0 0.0 0.0 1 5.715521 4.649406 5.406882 5.715521 5.716064 5.968150
0 16 4 2 2 25000000 200 400 800 0.0 0.0 1.0 2 0.765130 0.634806 0.682374 0.765130 0.823025 0.842521
0 16 8 4 0 10000000 400 800 800 0.0 1.0 0.0 2 0.187359 0.186473 0.187076 0.187359 0.187614 0.188035
0 16 4 2 2 25000000 200 400 800 0.0 0.0 0.0 2 0.759126 0.633769 0.691893 0.759126 0.825489 0.845008
0 16 4 2 2 50000000 200 400 800 0.0 1.0 0.0 0 40.851771 11.554651 32.209223 40.851771 41.215860 41.371541
0 16 4 2 2 50000000 200 400 800 0.0 1.0 1.0 0 40.851771 11.554651 32.209223 40.851771 41.215860 41.371541
0 16 8 4 2 50000000 200 400 400 0.0 0.0 0.0 1 28.548034 22.906708 26.583261 28.548034 28.548102 29.623622
0 16 8 4 2 50000000 200 400 400 0.0 0.0 1.0 1 28.548066 21.433705 26.795981 28.548066 28.548190 29.482578
0 16 4 2 2 100000000 200 400 400 0.0 1.0 0.0 0 82.027340 23.468652 64.986107 82.027340 82.603860 82.750589
0 16 8 2 0 100000000 200 400 400 0.0 1.0 0.0 0 62.076499 60.817867 61.624497 62.076499 62.300619 62.404681
0 16 4 2 2 100000000 200 400 400 0.0 1.0 1.0 0 82.027340 23.468652 64.986107 82.027340 82.603860 82.750589
0 4 2 2 0 100000000 400 800 800 0.0 1.0 0.0 0 4.375001 4.146593 4.148410 4.375001 4.602803 4.604094
0 16 2 2 0 100000000 200 400 400 0.0 1.0 0.0 0 37.455349 20.194088 22.078692 37.455349 69.800103 72.180972
0 8 2 2 0 50000000 200 400 800 0.0 0.0 0.0 2 1.089470 0.975142 1.045989 1.089470 1.119029 1.141229
0 8 4 2 2 100000000 200 400 400 0.0 1.0 1.0 2 3.249281 3.104437 3.173432 3.249281 3.322291 3.346198
0 8 2 2 0 100000000 200 400 400 0.0 1.0 0.0 2 2.165415 1.672093 1.985869 2.165415 2.382007 2.471662
0 8 4 2 2 10000000 200 400 800 0.0 0.0 1.0 1 2.454135 2.006646 2.300089 2.454135 2.454397 2.570910
0 8 4 2 2 10000000 200 400 800 0.0 0.0 0.0 1 2.454135 2.281243 2.384842 2.454135 2.454397 2.566176
0 8 4 2 2 100000000 200 400 400 0.0 1.0 0.0 2 3.249281 3.104437 3.173432 3.249281 3.322291 3.346198
0 8 2 2 0 25000000 200 400 800 0.0 1.0 0.0 0 4.161174 3.262684 3.794217 4.161174 4.879686 5.076196
0 8 2 2 0 25000000 200 400 800 0.0 1.0 0.0 1 4.083163 2.693328 3.735087 4.083163 4.093689 4.183359
0 16 8 4 0 100000000 200 400 800 0.0 1.0 0.0 2 3.535508 2.562770 3.022950 3.535508 3.795510 3.881579
0 8 4 2 2 10000000 200 400 800 0.0 0.0 0.0 0 2.415381 2.112112 2.216161 2.415381 2.606034 2.684583
0 4 2 2 0 10000000 200 400 800 0.0 0.0 0.0 2 0.221494 0.219352 0.219507 0.221494 0.223363 0.223803
0 8 4 2 2 10000000 200 400 800 0.0 0.0 1.0 0 2.505778 2.182509 2.295500 2.505778 2.613959 2.688280
0 16 2 2 0 100000000 200 400 400 0.0 1.0 0.0 1 32.621201 22.318170 28.305254 32.621201 32.625346 33.351753
0 4 2 2 0 100000000 400 800 800 0.0 1.0 0.0 1 4.058817 3.838414 3.978765 4.058817 4.123931 4.237392
0 16 4 2 2 100000000 200 400 400 0.0 1.0 1.0 1 48.931782 35.696804 45.324233 48.931782 48.933845 49.159275
0 16 8 4 2 25000000 200 400 400 0.0 1.0 0.0 2 0.855600 0.669488 0.742888 0.855600 0.955370 0.979830
0 16 4 2 2 100000000 200 400 400 0.0 1.0 0.0 1 48.931782 35.696804 45.324233 48.931782 48.933845 49.159275
0 16 8 2 0 100000000 200 400 400 0.0 1.0 0.0 1 57.088078 46.291429 55.536973 57.088078 57.088172 58.544317
0 16 8 4 2 25000000 200 400 400 0.0 1.0 1.0 2 0.868076 0.675871 0.742646 0.868076 0.954889 0.981113
